070010001|07001|ACACOYAGUA
070010002|07001|LOS AMATES
070010003|07001|ARVIN
070010006|07001|LOS CACAOS
070010007|07001|EL CASTAÑO
070010009|07001|CONSTITUCION
070010010|07001|COSTA RICA
070010012|07001|LAS GOLONDRINAS
070010014|07001|HIDALGO
070010015|07001|HUISISIL UNO
070010017|07001|JALAPA
070010019|07001|MAGNOLIA
070010020|07001|LAS NUBES
070010021|07001|NUEVA LIBERTAD
070010024|07001|EMILIANO ZAPATA (PUERTO ARTURO)
070010025|07001|RANCHO BONITO
070010026|07001|ROSARIO ZACATONAL
070010027|07001|BUENA VOLUNTAD
070010028|07001|CINTALAPA
070010030|07001|SAN CARLOS
070010031|07001|SAN JOSE
070010033|07001|SAN PEDRO EL ARENAL
070010034|07001|LOS JAZMINES DOS
070010036|07001|EL TAJUKO
070010037|07001|TIZAPA
070010038|07001|EL TUMBADOR
070010039|07001|LA VIOLETA
070010040|07001|PALESTINA
070010045|07001|BUENAVISTA
070010047|07001|LAGUNA ARENAL
070010048|07001|CABALLO BLANCO
070010050|07001|SAN ANTONIO
070010052|07001|EL PENSAMIENTO
070010058|07001|EL ENCUENTRO
070010060|07001|LA VIEJA LIBERTAD
070010061|07001|SAN VICENTE JOVAL
070010062|07001|NUEVA REFORMA
070010063|07001|MONTE VIDEO
070010064|07001|MARIA ESTHER ZUNO DE ECHEVERRIA
070010067|07001|SAN MARCOS
070010068|07001|BOLIVIA
070010071|07001|SAN ISIDRO
070010073|07001|BETANIA
070010079|07001|LAS CRUCES
070010080|07001|JALAPA UNO
070010083|07001|LA FORTUNA
070010085|07001|SOLEDAD
070010086|07001|PALOMEQUE
070010087|07001|BUENOS AIRES
070010088|07001|SATELITE MORELIA
070010089|07001|SANTA ROSA
070010090|07001|JARDIN DE ORO
070010091|07001|LAGUNAS
070010092|07001|LA PATRIA
070010094|07001|DIEZ DE ABRIL (TEXCOCO)
070010101|07001|TRES HERMANOS
070010106|07001|BUENOS AIRES
070010108|07001|EL AGUACATE
070010109|07001|HUISISIL DOS
070010110|07001|EL RETIRO
070010111|07001|LAS DELICIAS
070010113|07001|FLOR DEL CARMEN UNO
070010114|07001|REFORMA (PARADA BONANZA)
070010115|07001|DELICIAS
070010116|07001|SAN PEDRO
070010118|07001|SAN MARCOS UNO
070010119|07001|CALLEJON DEL PARAISO
070010122|07001|LUIS DONALDO COLOSIO
070010123|07001|LAS CADENAS
070010124|07001|VICTOR MANUEL CASTILLO (ESPAÑA)
070010125|07001|MADRE VIEJA
070010127|07001|NUEVO CINTALAPA DOS (BERLIN)
070010129|07001|CANDELARIA
070010130|07001|EMILIANO ZAPATA (SALTO DE AGUA)
070010131|07001|LAS BRISAS
070010132|07001|NUEVA JALAPA
070010134|07001|LAS LIMAS
070010138|07001|SANTA JULIA
070010140|07001|EL CAMIONERO
070010141|07001|MONTE DE ORO
070010142|07001|LA PRIMAVERA
070010144|07001|EL DELIRIO (EL RECUERDO)
070010146|07001|EL PORVENIR
070010147|07001|LAS BRISAS
070010148|07001|RENACIMIENTO
070010151|07001|CHICOL
070010152|07001|DESVIO EL PATASTE
070010153|07001|EL ARENAL
070010154|07001|EL DESENGAÑO
070010156|07001|LOS JAZMINES UNO
070010159|07001|QUINCE DE SEPTIEMBRE
070010161|07001|SAN JORGE
070010163|07001|SANTA AMALIA
070010164|07001|LAS TOMAS
070010165|07001|LA ARGENTINA
070010166|07001|MONTERREY
070010167|07001|LA ARGENTINA
070010168|07001|BETHEL
070010169|07001|LAS BRISAS
070010170|07001|BUENAVISTA
070010171|07001|LOS CACAOS
070010172|07001|LAS CHICHARRAS
070010174|07001|LAS DALIAS
070010175|07001|FLOR DEL CARMEN DOS
070010176|07001|GALEANA
070010177|07001|LA GLORIA
070010178|07001|LA GLORIA
070010180|07001|LA HERMOSURA
070010181|07001|LA LOMITA
070010182|07001|LOS MANGOS
070010183|07001|EL NOPAL (PARADA EL MIRADOR)
070010184|07001|NOPALES
070010185|07001|LA NUEVA ESPERANZA
070010186|07001|EL PARAISO
070010187|07001|PLAYA INES SECCION DOS
070010188|07001|RANCHO ESCONDIDO
070010189|07001|EL RECUERDO
070010190|07001|SAKURA
070010191|07001|SAN ENRIQUE
070010192|07001|SAN GERONIMO
070010193|07001|LOCALIDAD SIN NOMBRE (ALONSO MORALES)
070010194|07001|LOCALIDAD SIN NOMBRE (BENEDICTO GONZALEZ)
070010195|07001|LOCALIDAD SIN NOMBRE (EDMUNDO MENDEZ)
070010196|07001|LOCALIDAD SIN NOMBRE (JUAN AGUILAR)
