AFG|AFGANISTAN|AFGANO
ALB|ALBANIA|ALBANES
DEU|ALEMANIA|ALEMAN
AND|ANDORRA|ANDORRANO
AGO|ANGOLA|ANGOLEÑO
AIA|ANGUILA|BRITANICO
ATA|ANTARTICA|BRITANICO, FRANCES O AUSTRALIANO
ATG|ANTIGUA Y BARBUDA|DE ANTIGUA Y BARBUDA
ANT|ANTILLAS NEERLANDESAS|NEERLANDES
SAU|ARABIA SAUDITA|ARABE SAUDITA
DZA|ARGELIA|ARGELINO
ARG|ARGENTINA|ARGENTINO
ARM|ARMENIA|ARMENIO
ABW|ARUBA|NEERLANDES
AUS|AUSTRALIA|AUSTRALIANO
AUT|AUSTRIA|AUSTRIACO
AZE|AZERBAIYAN|AZERBAIYANO
BHS|BAHAMAS|BAHAMES
BHR|BAHREIN|DE BAHREIN
BGD|BANGLADESH|DE BANGLADESH
BRB|BARBADOS|BARBADENSE
BLR|BELARUS|BELARUSO
BEL|BELGICA|BELGA
BLZ|BELICE|BELICEÑO
BEN|BENIN|BENINES
BMU|BERMUDA|BRITANICO
BTN|BHUTAN|BHUTANES
BOL|BOLIVIA|BOLIVIANO
BIH|BOSNIA Y HERZEGOVINA|DE BOSNIA Y HERZEGOVINA
BWA|BOTSWANA|BOTSWANES
BRA|BRASIL|BRASILEÑO
BRN|BRUNEI DARUSSALAM|DE BRUNEI DARUSSALAM
BGR|BULGARIA|BULGARO
BFA|BURKINA FASO|BURKINABE
BDI|BURUNDI|BURUNDIANO
CPV|CABO VERDE|CABOVERDIANO
KHM|CAMBOYA|CAMBOYANO
CMR|CAMERUN|CAMERUNES
CAN|CANADA|CANADIENSE
TCD|CHAD|CHADIANO
CHL|CHILE|CHILENO
CHN|CHINA|CHINO
CYP|CHIPRE|CHIPRIOTA
COL|COLOMBIA|COLOMBIANO
COM|COMORAS|COMORANO
COG|CONGO|CONGOLEÑO
CIV|COSTA DE MARFIL|DE COSTA DE MARFIL
CRI|COSTA RICA|COSTARRICENSE
HRV|CROACIA|CROATA
CUB|CUBA|CUBANO
DNK|DINAMARCA|DANES/DINAMARQUES
DJI|DJIBOUTI|DE DJIBOUTI
DMA|DOMINICA|DE DOMINICA
ECU|ECUADOR|ECUATORIANO
EGY|EGIPTO|EGIPCIO
SLV|EL SALVADOR|SALVADOREÑO
ERI|ERITREA|ERITREO
